test_ligand	auroc	aupr	aupr_corrected	pearson	rank	receiver
TGFB1	0.934848760380674	0.186872456805035	0.178111911704451	0.292403304123408	1	Pericyte_cg_vascular_stabilizing
FN1	0.838116021094746	0.143897163989117	0.135136618888533	0.241826563822602	2	Pericyte_cg_vascular_stabilizing
VTN	0.822998120870459	0.139376074121917	0.130615529021333	0.260779492174791	3	Pericyte_cg_vascular_stabilizing
TGFB2	0.856349639328359	0.13397371920275	0.125213174102166	0.257390258540982	4	Pericyte_cg_vascular_stabilizing
CCN2	0.819967266775772	0.125072560307412	0.116312015206828	0.224238619100318	5	Pericyte_cg_vascular_stabilizing
TGM2	0.803697641995516	0.112540538219074	0.10377999311849	0.063159599986852	6	Pericyte_cg_vascular_stabilizing
WNT3A	0.851366915196702	0.107903396263173	0.0991428511625886	0.190771331454936	7	Pericyte_cg_vascular_stabilizing
AGT	0.808377280717703	0.105900781956255	0.0971402368556712	0.231571976690294	8	Pericyte_cg_vascular_stabilizing
VCAM1	0.807758986482389	0.101624278621656	0.0928637335210722	0.222872177418716	9	Pericyte_cg_vascular_stabilizing
SIRPB2	0.783900103049036	0.10068098866543	0.0919204435648461	0.203381847047985	10	Pericyte_cg_vascular_stabilizing
NAMPT	0.819761168697337	0.0998288528891428	0.0910683077885588	0.18495522365865	11	Pericyte_cg_vascular_stabilizing
ENG	0.838552464084375	0.0990710772009566	0.0903105321003725	0.208080228441255	12	Pericyte_cg_vascular_stabilizing
THBS2	0.795259744195911	0.0961530449607961	0.0873924998602121	0.213468568053957	13	Pericyte_cg_vascular_stabilizing
TNC	0.833121173546704	0.0943141676810503	0.0855536225804662	0.142633939206863	14	Pericyte_cg_vascular_stabilizing
ANG	0.85040916530278	0.093799031234046	0.085038486133462	0.158801601297297	15	Pericyte_cg_vascular_stabilizing
TIMP2	0.782615020912895	0.090455978779225	0.0816954336786409	0.191904306996549	16	Pericyte_cg_vascular_stabilizing
ICAM1	0.812256773958898	0.0897144249640787	0.0809538798634947	0.175361711507271	17	Pericyte_cg_vascular_stabilizing
COPA	0.840407346790326	0.0865879249525039	0.0778273798519199	0.174718090948766	18	Pericyte_cg_vascular_stabilizing
BMP4	0.838722191913678	0.0855825822179865	0.0768220371174025	0.185770753542477	19	Pericyte_cg_vascular_stabilizing
C4BPA	0.716821240225493	0.0836093640779924	0.0748488189774083	0.134285132628241	20	Pericyte_cg_vascular_stabilizing
MMP14	0.82857489240468	0.0836082031668642	0.0748476580662802	0.190154021263395	21	Pericyte_cg_vascular_stabilizing
NTS	0.848263320603744	0.0824478073524641	0.07368726225188	0.119133705444205	22	Pericyte_cg_vascular_stabilizing
RELN	0.844893010850456	0.0809992993529332	0.0722387542523492	0.148321431962956	23	Pericyte_cg_vascular_stabilizing
MMP7	0.796726677577739	0.0786871656784426	0.0699266205778585	0.166742909503314	24	Pericyte_cg_vascular_stabilizing
EDN1	0.837037037037034	0.078564716424082	0.069804171323498	0.136332713392627	25	Pericyte_cg_vascular_stabilizing
PSAP	0.76748499727223	0.0778120436789661	0.069051498578382	0.18682601302429	26	Pericyte_cg_vascular_stabilizing
COL5A1	0.836418742801722	0.077780925160867	0.069020380060283	0.15610143596372	27	Pericyte_cg_vascular_stabilizing
SHISA4	0.834454749348362	0.0773491862058799	0.0685886411052959	0.158311249212676	28	Pericyte_cg_vascular_stabilizing
DLL4	0.762150694065586	0.0772111160345038	0.0684505709339197	0.172605880022903	29	Pericyte_cg_vascular_stabilizing
COL1A1	0.845317330423713	0.07709136641329	0.0683308213127059	0.172006895740724	30	Pericyte_cg_vascular_stabilizing
SPARC	0.821276595744684	0.0764858674780216	0.0677253223774376	0.0649982497160133	31	Pericyte_cg_vascular_stabilizing
C1QB	0.84351094138328	0.0758655931970808	0.0671050480964968	0.160933411418599	32	Pericyte_cg_vascular_stabilizing
MMP9	0.812802327695942	0.0750355397105472	0.0662749946099632	0.14503041007157	33	Pericyte_cg_vascular_stabilizing
DCN	0.829532642298599	0.074549857434272	0.0657893123336879	0.113811863386562	34	Pericyte_cg_vascular_stabilizing
GGT1	0.824052858095413	0.074320881648995	0.065560336548411	0.151630412567952	35	Pericyte_cg_vascular_stabilizing
FBN1	0.865745287021882	0.0741340222701881	0.0653734771696041	0.139014112687779	36	Pericyte_cg_vascular_stabilizing
SELE	0.784069830878338	0.0712501185466303	0.0624895734460462	0.1723556424579	37	Pericyte_cg_vascular_stabilizing
OSM	0.76147178274837	0.0708275172107208	0.0620669721101367	0.104407598914822	38	Pericyte_cg_vascular_stabilizing
COL8A2	0.835570103655212	0.0706949763583178	0.0619344312577338	0.149031124986588	39	Pericyte_cg_vascular_stabilizing
VCAN	0.840467963872222	0.069704316482085	0.0609437713815009	0.151756660120305	40	Pericyte_cg_vascular_stabilizing
JAM3	0.845826513911617	0.0695408218231915	0.0607802767226075	0.152453934112911	41	Pericyte_cg_vascular_stabilizing
