cell_type	n	mean	detect	gene	layer
pericyte	99	1.5386149	0.7575757575757576	Agtr1a	lognorm
smooth muscle cell of the pulmonary artery	209	0.00015444278	0.004784688995215311	Agtr1a	lognorm
vascular associated smooth muscle cell	2437	0.100624934	0.08124743537135823	Agtr1a	lognorm
pericyte	99	2.8919013	1.0	Agtr1a	scvi_corrected
smooth muscle cell of the pulmonary artery	209	0.08796809	1.0	Agtr1a	scvi_corrected
vascular associated smooth muscle cell	2437	0.6990469	1.0	Agtr1a	scvi_corrected
pericyte	99	0.0	0.0	Agtr1b	lognorm
smooth muscle cell of the pulmonary artery	209	0.0	0.0	Agtr1b	lognorm
vascular associated smooth muscle cell	2437	0.0013490471	0.0016413623307345096	Agtr1b	lognorm
pericyte	99	0.00832965	1.0	Agtr1b	scvi_corrected
smooth muscle cell of the pulmonary artery	209	0.008739934	1.0	Agtr1b	scvi_corrected
vascular associated smooth muscle cell	2437	0.032817133	1.0	Agtr1b	scvi_corrected
pericyte	99	0.0	0.0	Agtr2	lognorm
smooth muscle cell of the pulmonary artery	209	0.0	0.0	Agtr2	lognorm
vascular associated smooth muscle cell	2437	0.0031016215	0.003282724661469019	Agtr2	lognorm
pericyte	99	0.012606419	1.0	Agtr2	scvi_corrected
smooth muscle cell of the pulmonary artery	209	0.24142414	1.0	Agtr2	scvi_corrected
vascular associated smooth muscle cell	2437	0.028648432	1.0	Agtr2	scvi_corrected
