outcome	predictor	family	estimate	SE	df	t_ratio	p_value	depth_adjusted	n_units	n_donors	p_BH	block	median_rho	q25	q75	p_wilcox	n_donors_partial	median_partial_rho	p_wilcox_partial	depth_control	p_BH_partial
basement_membrane_score_z	AGTR1_scvi	agtr1	0.125861039231144	0.0676657630542095	194.524648835103	1.86004019684684	0.0643894715534715	TRUE	214	95	0.0643894715534715	donor x cluster pseudobulk (mixed model)									
basement_membrane_score_z	AGTR1_expr	agtr1	0.16953707002599	0.0700172524170884	210.89516506753	2.42136136699664	0.0163084315429498	TRUE	214	95	0.0244626473144247	donor x cluster pseudobulk (mixed model)									
basement_membrane_score_z	AGTR1_detect	agtr1	0.209420942958837	0.0747874570733841	208.480429232429	2.80021478405591	0.0055868393920631	TRUE	214	95	0.0167605181761893	donor x cluster pseudobulk (mixed model)									
fibrillar_collagen_score_z	AGTR1_scvi	agtr1	-0.134454260044049	0.0669063072273	210.05165954958	-2.00959021078938	0.045754051321993	TRUE	214	95	0.137262153965979	donor x cluster pseudobulk (mixed model)									
fibrillar_collagen_score_z	AGTR1_expr	agtr1	-0.0542868224835439	0.0687289782291005	205.6772764478	-0.78986802775657	0.430514524259239	TRUE	214	95	0.645771786388858	donor x cluster pseudobulk (mixed model)									
fibrillar_collagen_score_z	AGTR1_detect	agtr1	-0.029627872532633	0.0744417869394924	210.122766885115	-0.398000555208529	0.691033847999251	TRUE	214	95	0.691033847999251	donor x cluster pseudobulk (mixed model)									
bm_minus_fibrillar_z	AGTR1_scvi	agtr1	0.312992942950849	0.0652856647032037	210.962775570426	4.79420626830947	3.08132068243413e-06	TRUE	214	95	9.24396204730238e-06	donor x cluster pseudobulk (mixed model)									
bm_minus_fibrillar_z	AGTR1_expr	agtr1	0.196569851593166	0.0675308453905104	203.737675121009	2.91081579767678	0.00400592624474164	TRUE	214	95	0.00600888936711246	donor x cluster pseudobulk (mixed model)									
bm_minus_fibrillar_z	AGTR1_detect	agtr1	0.164824940737483	0.074279245974954	209.877772628765	2.21899049423658	0.0275583144525381	TRUE	214	95	0.0275583144525381	donor x cluster pseudobulk (mixed model)									
bm_resid	AGTR1_scvi	agtr1	0.0986907557217833	0.0578575146118529	211.99999999584	1.70575518813532	0.0895182481090704	FALSE	214	95	0.0895182481090704	donor x cluster pseudobulk (mixed model)									
